시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,신호기설치방식,도로형태,주도로여부,신호등관리번호,신호등구분,신호등색종류,신호등화방식,신호등화순서,신호등화시간,광원종류,신호제어방식,신호시간결정방식,점멸등운영여부,점멸등운영시작시각,점멸등운영종료시각,보행자작동신호기유무,잔여시간표시기유무,시각장애인용음향신호기유무,도로안내표지일련번호,관리기관명,관리기관전화번호,데이터기준일자
경상북도,구미시,일반국도,67번,1공단로,3,경상북도 구미시 1공단로 251,경상북도 구미시 공단동 258-1,36.10475673,128.3911699,3,2,Y,1공단로-23,1,3,3,녹색+황색+적색,71+3+46,2,1,1,Y,23:00,06:00,N,N,N,,경상북도 구미시청,054-480-6114,2026-03-31
경상북도,구미시,일반국도,67번,1공단로,3,경상북도 구미시 1공단로 251,경상북도 구미시 공단동 258-1,36.10475673,128.3911699,3,2,Y,1공단로-24,1,4,5,녹색+황색+녹색좌회전+황색+적색,50+3+10+3+60,2,1,1,Y,23:00,06:00,N,N,N,,경상북도 구미시청,054-480-6114,2026-03-31
경상북도,구미시,시도,514번,1공단로,3,경상북도 구미시 1공단로 251,경상북도 구미시 공단동 258-1,36.10475673,128.3911699,2,2,Y,1공단로-25,2,2,2,녹색+적색,23+97,2,1,1,N,00:00,00:00,N,N,N,,경상북도 구미시청,054-480-6114,2026-03-31
경상북도,구미시,일반국도,67번,1공단로,3,경상북도 구미시 1공단로 251,경상북도 구미시 공단동 258-1,36.10475673,128.3911699,2,2,Y,1공단로-26,2,2,2,녹색+적색,23+98,2,1,1,N,00:00,00:00,N,N,N,,경상북도 구미시청,054-480-6114,2026-03-31
경상북도,구미시,일반국도,67번,1공단로,3,경상북도 구미시 1공단로 251,경상북도 구미시 공단동 258-1,36.10475673,128.3911699,3,2,Y,1공단로-27,1,4,5,녹색+황색+녹색좌회전+황색+적색,87+3+26+3+120,2,1,1,N,00:00,00:00,N,N,N,,경상북도 구미시청,054-480-6114,2026-03-31
경상북도,구미시,시도,514번,1공단로,3,경상북도 구미시 1공단로 251,경상북도 구미시 공단동 258-1,36.10475673,128.3911699,2,2,Y,1공단로-28,2,2,2,녹색+적색,23+97,2,1,1,N,00:00,00:00,N,N,N,,경상북도 구미시청,054-480-6114,2026-03-31
경상북도,구미시,시도,514번,1공단로,3,경상북도 구미시 1공단로 251,경상북도 구미시 공단동 258-1,36.10475673,128.3911699,2,2,Y,1공단로-29,2,2,2,녹색+적색,17+143,2,1,1,N,00:00,00:00,N,N,N,,경상북도 구미시청,054-480-6114,2026-03-31
경상북도,구미시,시도,514번,1공단로,3,경상북도 구미시 1공단로 238,경상북도 구미시 공단동 260-4,36.10178322,128.3888428,3,2,Y,1공단로-30,6,1,1,황색,1,2,1,1,Y,00:00,23:59,N,N,N,,경상북도 구미시청,054-480-6114,2026-03-31
경상북도,구미시,시도,514번,1공단로,2,경상북도 구미시 1공단로 232,경상북도 구미시 공단동 260-6,36.10173107,128.3883667,3,1,Y,1공단로-31,6,1,1,황색,1,2,1,1,Y,00:00,23:59,N,N,N,,경상북도 구미시청,054-480-6114,2026-03-31
경상북도,구미시,시도,514번,1공단로,3,경상북도 구미시 1공단로 212,경상북도 구미시 공단동 260-10,36.10139729,128.3859848,2,2,Y,1공단로-32,2,2,2,녹색+적색,17+133,2,1,1,N,00:00,00:00,N,N,Y,,경상북도 구미시청,054-480-6114,2026-03-31
경상북도,구미시,시도,514번,1공단로,3,경상북도 구미시 1공단로 212,경상북도 구미시 공단동 260-10,36.10139729,128.3859848,3,2,Y,1공단로-33,1,4,5,녹색+황색+녹색좌회전+황색+적색,105+3+12+3+28,2,1,1,N,00:00,00:00,N,N,N,,경상북도 구미시청,054-480-6114,2026-03-31
경상북도,구미시,시도,514번,1공단로,3,경상북도 구미시 1공단로 212,경상북도 구미시 공단동 260-10,36.10139729,128.3859848,3,2,Y,1공단로-34,1,4,5,녹색+황색+녹색좌회전+황색+적색,105+3+12+3+28,2,1,1,N,00:00,00:00,N,N,N,,경상북도 구미시청,054-480-6114,2026-03-31
경상북도,구미시,시도,514번,1공단로,3,경상북도 구미시 1공단로 169,경상북도 구미시 공단동 249-1,36.10232995,128.3818679,2,2,Y,1공단로-35,2,2,2,녹색+적색,17+133,2,1,1,N,00:00,00:00,N,N,Y,,경상북도 구미시청,054-480-6114,2026-03-31
경상북도,구미시,시도,514번,1공단로,3,경상북도 구미시 1공단로 169,경상북도 구미시 공단동 249-1,36.10232995,128.3818679,3,2,Y,1공단로-36,1,4,5,녹색+황색+녹색좌회전+황색+적색,50+3+10+3+60,2,1,1,N,00:00,00:00,N,N,N,,경상북도 구미시청,054-480-6114,2026-03-31
경상북도,구미시,시도,514번,1공단로,3,경상북도 구미시 1공단로 169,경상북도 구미시 공단동 249-1,36.10232995,128.3818679,2,2,Y,1공단로-37,2,2,2,녹색+적색,23+98,2,1,1,N,00:00,00:00,N,N,Y,,경상북도 구미시청,054-480-6114,2026-03-31
경상북도,구미시,시도,514번,1공단로,3,경상북도 구미시 1공단로 169,경상북도 구미시 공단동 249-1,36.10232995,128.3818679,2,2,Y,1공단로-38,2,2,2,녹색+적색,17+133,2,1,1,N,00:00,00:00,N,N,Y,,경상북도 구미시청,054-480-6114,2026-03-31
경상북도,구미시,시도,514번,1공단로,3,경상북도 구미시 1공단로 121,경상북도 구미시 공단동 242-2,36.1025033,128.375857,2,2,Y,1공단로-39,2,2,2,녹색+적색,24+106,2,1,1,N,00:00,00:00,N,N,N,,경상북도 구미시청,054-480-6114,2026-03-31
경상북도,구미시,시도,514번,1공단로,3,경상북도 구미시 1공단로 121,경상북도 구미시 공단동 242-2,36.1025033,128.375857,3,2,Y,1공단로-40,1,4,4,녹색+녹색/녹색좌회전+황색+적색,104+15+3+28,2,1,1,N,00:00,00:00,N,N,N,,경상북도 구미시청,054-480-6114,2026-03-31
경상북도,구미시,시도,514번,1공단로,3,경상북도 구미시 1공단로 121,경상북도 구미시 공단동 242-2,36.1025033,128.375857,3,2,Y,1공단로-41,1,4,5,녹색+황색+녹색좌회전+황색+적색,48+3+20+3+24,2,1,1,N,00:00,00:00,N,N,N,,경상북도 구미시청,054-480-6114,2026-03-31
