시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,자전거횡단도겸용여부,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관전화번호,데이터기준일자
경상북도,구미시,상모로6길,경상북도 구미시 상모로6길 1,경상북도 구미시 상모동 486,상모로6길-1,01,,N,36.08928964,128.3545547,2,4,6.8,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,상모로,경상북도 구미시 상모로 39,경상북도 구미시 상모동 96,상모로-1,01,,N,36.08936917,128.3542198,2,4,10,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,상모로,경상북도 구미시 상모로 38,경상북도 구미시 상모동 488,상모로-2,01,,N,36.08916718,128.3541398,2,4,7.8,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,야은로,경상북도 구미시 야은로 710,경상북도 구미시 원평동 560-2,야은로-1,01,,N,36.12580457,128.3577051,6,4,20,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,상모로,경상북도 구미시 상모로 43,경상북도 구미시 상모동 96,상모로-3,01,,N,36.08947792,128.354882,4,8,11,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,야은로,경상북도 구미시 야은로 713,경상북도 구미시 원평동 560-2,야은로-2,01,,N,36.12599689,128.3577041,1,3,11,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,야은로,경상북도 구미시 야은로 710,경상북도 구미시 원평동 952-2,야은로-3,01,,N,36.12618779,128.3574314,1,3,5.8,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,야은로,경상북도 구미시 야은로 710,경상북도 구미시 원평동 951-1,야은로-4,01,,N,36.12606448,128.3570618,1,3,9.5,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,야은로,경상북도 구미시 야은로 686,경상북도 구미시 지산동 807-4,야은로-5,01,,N,36.12690113,128.3558729,2,3,10,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,낙동제방길,경상북도 구미시 낙동제방길 5-14,경상북도 구미시 지산동 807-4,낙동제방길-1,01,,N,36.12700875,128.3562515,2,3,9.4,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,야은로,경상북도 구미시 야은로 686,경상북도 구미시 지산동 711-1,야은로-6,01,,N,36.12710005,128.3555031,1,2.8,5,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,야은로,경상북도 구미시 야은로 682,경상북도 구미시 지산동 711-1,야은로-7,01,,N,36.12726409,128.3547263,1,3,10,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,야은로,경상북도 구미시 야은로 664,경상북도 구미시 지산동 728-4,야은로-8,01,,N,36.12744597,128.3531597,1,3,18,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,상모로,경상북도 구미시 상모로 74,경상북도 구미시 상모동 96,상모로-4,01,,N,36.09043149,128.3581227,4,8,11,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,야은로,경상북도 구미시 야은로 664,경상북도 구미시 지산동 728-4,야은로-9,01,,N,36.12748388,128.3528347,4,3,8.5,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,야은로,경상북도 구미시 야은로 682,경상북도 구미시 지산동 711-1,야은로-10,01,,N,36.12720686,128.3551489,1,3,8.5,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,상사동로,경상북도 구미시 상사동로 91-18,경상북도 구미시 상모동 535-6,상사동로-1,01,,N,36.09179347,128.3580871,1,2,14,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,상사동로,경상북도 구미시 상사동로 91-17,경상북도 구미시 상모동 300,상사동로-2,01,,N,36.09166971,128.3582659,2,2.1,6.8,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,공원로,경상북도 구미시 공원로 372,경상북도 구미시 형곡동 381,공원로-1,01,,N,36.10838987,128.332299,2,2.7,7.4,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,형곡로,경상북도 구미시 형곡로 132,경상북도 구미시 형곡동 228,형곡로-1,01,,N,36.1094668,128.3323793,4,6,10,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,형곡로,경상북도 구미시 형곡로 101,경상북도 구미시 형곡동 228,형곡로-2,01,,N,36.1121918,128.3326783,4,6,22,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,형곡로,경상북도 구미시 형곡로 101,경상북도 구미시 형곡동 228,형곡로-3,01,,N,36.11204797,128.3323971,4,6,17,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,형곡로17길,경상북도 구미시 형곡로17길 6,경상북도 구미시 형곡동 228,형곡로17길-1,01,,N,36.11247363,128.332669,2,5.8,18,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,형곡로,경상북도 구미시 형곡로 96,경상북도 구미시 형곡동 228,형곡로-4,01,,N,36.1125552,128.3324064,5,5.5,22,Y,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
